"Mental Health related emergency department visits (annual) by Age (years) for Total mental health presentations by Sex"
"Age (years)","Presentation type","Sex","Period","Crude rate per 100,000 population","LL 95% CI","UL 95% CI"
"All ages","Total mental health presentations","Persons","14/15","1,274.4","1,266.3","1,282.5"
"All ages","Total mental health presentations","Persons","15/16","1,329.0","1,320.8","1,337.2"
"All ages","Total mental health presentations","Persons","16/17","1,370.8","1,362.5","1,379.1"
"All ages","Total mental health presentations","Persons","17/18","1,361.9","1,353.8","1,370.1"
"All ages","Total mental health presentations","Persons","18/19","1,443.0","1,434.7","1,451.4"
"All ages","Total mental health presentations","Persons","19/20","1,437.7","1,429.4","1,446.0"
"All ages","Total mental health presentations","Persons","20/21","1,505.6","1,497.2","1,514.1"
"All ages","Total mental health presentations","Persons","21/22","1,531.3","1,522.8","1,539.8"
"All ages","Total mental health presentations","Persons","22/23","1,560.8","1,552.2","1,569.4"
"All ages","Total mental health presentations","Persons","23/24","1,551.7","1,543.3","1,560.2"
"All ages","Total mental health presentations","Persons","24/25","1,532.5","1,524.1","1,540.8"
""
"Source:"
"Summary tables of NSW Emergency Department Data Collection (EDDC), via the NSW Health Information Exchange (HIE) for FY2012-13 to FY2020-21 and the NSW Enterprise Data Warehouse (EDWARD) from FY2021-22 onwards, supplied by InforMH System Information & Analytics Branch, NSW Ministry of Health"
"Date data updated: October 2025"
"Citation:"
"Centre for Epidemiology and Evidence.  HealthStats NSW. Sydney:  NSW Ministry of Health Available at: https://www.healthstats.nsw.gov.au/r/133893 Accessed: Fri Apr 17 2026 16:29:34 GMT+1000 (Australian Eastern Standard Time)"
"Notes:"
"Sources"
"Summary tables of NSW Emergency Department Data Collection (EDDC), via the NSW Health Information Exchange (HIE) for FY2012-13 to FY2020-21 and the NSW Enterprise Data Warehouse (EDWARD) from FY2021-22 onwards, supplied by InforMH System Information & Analytics Branch, NSW Ministry of Health"
"Inclusions & Exclusions"
"For the dimensions LHD, PHN, SES and ARIA, only NSW residents are included."
"For other views, data refer to NSW emergency department presentations regardless of the district or state of residence of the patient."
"Persons under 10 years are excluded from intentional self-harm and suicidal ideation categories."
"Includes emergency department presentation types of  'emergency presentations' and 'unplanned return visit for a continuing condition' only."
"Northern Beaches Hospital is included from financial year 2021-22."
"Coding"
"Depending on the information system used in the emergency department at a point in time, the diagnosis recorded according to one of three classification systems: the International Classification of Diseases, 9th revision (ICD-9), the International Classification of Diseases and Related Health Problems, 10th revision (ICD-10) or the Systematised Nomenclature of MedicineClinical Terms (SNOMED-CT)."
"Intentional self harm, suicidal ideation and other mental health presentationsDescriptionICD-10-AMFree Text ScanIntentional self-harmX60-X84Y87.0T39, T42, T43, T50.9Includes suicide, self-harm, self-inflicted, overdose or poisoning. Excludes if accompanied by text: (ideation, treat, thought, plan, feeling, intent, risk, accidental or un-intentional) or (food poisoning)Suicidal ideationR45.81Includes (suicide, suicidal, self-harm or self-inflicted) accompanied by (ideation, threat, thought, plan, feeling, intent or risk) Other mental healthF10.5, F11.5, F12.5, F13.5, F14.5, F15.5, F16.5, F17.5, F18.5, F19.5, F20-F51, F53-F63, F65-F69, F80-F99, R44, R45(excl R45.81) SNOMED Concepts which map to specified ICD 10 classifications specified in the table above are used (as provided by the then National e-Health Transition Authority, now the National Clinical Terminology Service https://www.healthterminologies.gov.au/ operated by the Australian Digital Health Agency)"
"Statistical Methods"
"For the dimensions LHD, PHN, SES and ARIA, figures are based on where a person resides, not where they are treated."
"Age-specific rates were not age-adjusted."
"All other rates are crude rates.Crude rates represent an estimate of the proportion of a population that experiences an outcome during a specified period. The crude rate is calculated by dividing the number of people with an outcome in a specified period by the number at risk during that period (typically per year). The crude rate does not take into account changes in the age structure of the population studied (such as changes in the proportion of people in different age groups over time), and can be misleading when long-term trends are examined, geographic areas or sub-population are compared - because age structures of populations may vary over time, among areas or groups."
"Dimensions/Variables"
"Local Health Districts (LHDs) are health administrative areas constituted under Section 17 of the NSW Health Services Act 1997 which became effective from January 2011 and were initially called Local Health Networks."
"All LHDs includes LHDs where numbers are too low to be individually included, and records where the LHD was missing or not stated."
"Primary Health Networks (PHNs) are health administrative areas which represent primary health care organisations in Australia from July 2014."
"All PHNs include records where the Primary Health Network is missing or not stated as well as records assigned to the NSW portion of the Murray PHN."
"Socio-Economic Indexes for Areas (SEIFA) are produced by the Australian Bureau of Statistics, with four indexes currently being produced. Index of Relative Socio-Economic Disadvantage (IRSD) is the main index reported by HealthStats NSW. It includes characteristics relating to occupation, education, non-English speaking background and the economic resources of the household."
