"Mental health related emergency department visits (monthly) by Age (years) for Total mental health presentations by Sex and LHD"
"Age (years)","Presentation type","Sex","LHD","Period","Crude rate per 100,000 population","LL 95% CI","UL 95% CI"
"18-24 years","Total mental health presentations","Males","Northern Sydney LHD","2025-Q3","407.8","348.6","474.2"
"18-24 years","Total mental health presentations","Males","Northern Sydney LHD","2025-Q4","416.9","357.0","483.9"
"18-24 years","Total mental health presentations","Males","Central Coast LHD","2015-Q4","699.5","569.6","850.1"
"18-24 years","Total mental health presentations","Males","Central Coast LHD","2016-Q1","721.1","588.6","874.6"
"18-24 years","Total mental health presentations","Males","Central Coast LHD","2016-Q2","747.4","612.4","903.3"
"18-24 years","Total mental health presentations","Males","Central Coast LHD","2016-Q3","761.4","625.0","918.7"
"18-24 years","Total mental health presentations","Males","Central Coast LHD","2016-Q4","845.4","701.4","1,010.3"
"18-24 years","Total mental health presentations","Males","Central Coast LHD","2017-Q1","843.2","700.7","1,006.0"
"18-24 years","Total mental health presentations","Males","Central Coast LHD","2017-Q2","831.2","689.8","993.0"
"18-24 years","Total mental health presentations","Males","Central Coast LHD","2017-Q3","805.5","666.4","964.9"
"18-24 years","Total mental health presentations","Males","Central Coast LHD","2017-Q4","836.3","694.5","998.5"
"18-24 years","Total mental health presentations","Males","Central Coast LHD","2018-Q1","861.8","718.8","1,024.8"
"18-24 years","Total mental health presentations","Males","Central Coast LHD","2018-Q2","829.7","689.6","990.0"
"18-24 years","Total mental health presentations","Males","Central Coast LHD","2018-Q3","952.8","802.2","1,123.6"
"18-24 years","Total mental health presentations","Males","Central Coast LHD","2018-Q4","919.1","771.3","1,087.0"
"18-24 years","Total mental health presentations","Males","Central Coast LHD","2019-Q1","920.9","773.5","1,088.1"
"18-24 years","Total mental health presentations","Males","Central Coast LHD","2019-Q2","964.3","813.4","1,135.1"
"18-24 years","Total mental health presentations","Males","Central Coast LHD","2019-Q3","935.9","787.3","1,104.4"
"18-24 years","Total mental health presentations","Males","Central Coast LHD","2019-Q4","942.6","793.4","1,111.6"
"18-24 years","Total mental health presentations","Males","Central Coast LHD","2020-Q1","933.2","782.3","1,104.7"
"18-24 years","Total mental health presentations","Males","Central Coast LHD","2020-Q2","969.5","815.6","1,144.1"
"18-24 years","Total mental health presentations","Males","Central Coast LHD","2020-Q3","999.0","842.6","1,175.9"
"18-24 years","Total mental health presentations","Males","Central Coast LHD","2020-Q4","1,037.0","877.6","1,217.1"
"18-24 years","Total mental health presentations","Males","Central Coast LHD","2021-Q1","1,143.1","971.6","1,336.2"
"18-24 years","Total mental health presentations","Males","Central Coast LHD","2021-Q2","1,076.0","909.8","1,263.8"
"18-24 years","Total mental health presentations","Males","Central Coast LHD","2021-Q3","939.9","785.0","1,116.4"
"18-24 years","Total mental health presentations","Males","Central Coast LHD","2021-Q4","867.3","718.8","1,037.5"
"18-24 years","Total mental health presentations","Males","Central Coast LHD","2022-Q1","752.4","615.1","911.3"
"18-24 years","Total mental health presentations","Males","Central Coast LHD","2022-Q2","745.2","608.6","903.4"
"18-24 years","Total mental health presentations","Males","Central Coast LHD","2022-Q3","768.6","629.8","929.0"
"18-24 years","Total mental health presentations","Males","Central Coast LHD","2022-Q4","718.2","584.2","873.8"
"18-24 years","Total mental health presentations","Males","Central Coast LHD","2023-Q1","699.5","568.3","851.8"
"18-24 years","Total mental health presentations","Males","Central Coast LHD","2023-Q2","680.0","550.8","830.4"
"18-24 years","Total mental health presentations","Males","Central Coast LHD","2023-Q3","672.9","544.4","822.6"
"18-24 years","Total mental health presentations","Males","Central Coast LHD","2023-Q4","740.2","605.1","896.5"
"18-24 years","Total mental health presentations","Males","Central Coast LHD","2024-Q1","790.7","653.1","948.8"
"18-24 years","Total mental health presentations","Males","Central Coast LHD","2024-Q2","799.3","660.9","958.1"
"18-24 years","Total mental health presentations","Males","Central Coast LHD","2024-Q3","797.6","659.3","956.2"
"18-24 years","Total mental health presentations","Males","Central Coast LHD","2024-Q4","770.2","634.5","926.4"
"18-24 years","Total mental health presentations","Males","Central Coast LHD","2025-Q1","680.6","554.8","826.4"
"18-24 years","Total mental health presentations","Males","Central Coast LHD","2025-Q2","652.1","529.1","795.2"
"18-24 years","Total mental health presentations","Males","Central Coast LHD","2025-Q3","617.0","497.6","756.5"
"18-24 years","Total mental health presentations","Males","Central Coast LHD","2025-Q4","602.0","484.1","739.9"
"18-24 years","Total mental health presentations","Males","Hunter New England LHD","2015-Q4","725.1","645.1","812.2"
"18-24 years","Total mental health presentations","Males","Hunter New England LHD","2016-Q1","743.7","662.4","832.1"
"18-24 years","Total mental health presentations","Males","Hunter New England LHD","2016-Q2","743.7","662.4","832.1"
"18-24 years","Total mental health presentations","Males","Hunter New England LHD","2016-Q3","755.3","673.4","844.4"
"18-24 years","Total mental health presentations","Males","Hunter New England LHD","2016-Q4","780.9","697.7","871.4"
"18-24 years","Total mental health presentations","Males","Hunter New England LHD","2017-Q1","786.0","703.4","875.7"
"18-24 years","Total mental health presentations","Males","Hunter New England LHD","2017-Q2","790.8","707.9","880.7"
"18-24 years","Total mental health presentations","Males","Hunter New England LHD","2017-Q3","792.6","709.6","882.6"
"18-24 years","Total mental health presentations","Males","Hunter New England LHD","2017-Q4","796.2","713.0","886.4"
"18-24 years","Total mental health presentations","Males","Hunter New England LHD","2018-Q1","773.3","692.5","860.9"
"18-24 years","Total mental health presentations","Males","Hunter New England LHD","2018-Q2","767.5","687.0","854.8"
"18-24 years","Total mental health presentations","Males","Hunter New England LHD","2018-Q3","780.8","699.6","868.9"
"18-24 years","Total mental health presentations","Males","Hunter New England LHD","2018-Q4","802.3","719.9","891.5"
"18-24 years","Total mental health presentations","Males","Hunter New England LHD","2019-Q1","786.3","705.5","873.7"
"18-24 years","Total mental health presentations","Males","Hunter New England LHD","2019-Q2","815.8","733.6","904.8"
"18-24 years","Total mental health presentations","Males","Hunter New England LHD","2019-Q3","854.0","769.7","944.9"
"18-24 years","Total mental health presentations","Males","Hunter New England LHD","2019-Q4","867.6","782.7","959.2"
"18-24 years","Total mental health presentations","Males","Hunter New England LHD","2020-Q1","879.0","792.6","972.3"
"18-24 years","Total mental health presentations","Males","Hunter New England LHD","2020-Q2","861.6","776.1","954.0"
"18-24 years","Total mental health presentations","Males","Hunter New England LHD","2020-Q3","838.3","754.0","929.5"
"18-24 years","Total mental health presentations","Males","Hunter New England LHD","2020-Q4","805.2","722.5","894.6"
"18-24 years","Total mental health presentations","Males","Hunter New England LHD","2021-Q1","835.2","749.3","928.2"
"18-24 years","Total mental health presentations","Males","Hunter New England LHD","2021-Q2","848.5","761.9","942.2"
"18-24 years","Total mental health presentations","Males","Hunter New England LHD","2021-Q3","838.8","752.7","932.0"
"18-24 years","Total mental health presentations","Males","Hunter New England LHD","2021-Q4","857.0","770.0","951.2"
"18-24 years","Total mental health presentations","Males","Hunter New England LHD","2022-Q1","848.3","762.3","941.4"
"18-24 years","Total mental health presentations","Males","Hunter New England LHD","2022-Q2","833.4","748.2","925.7"
"18-24 years","Total mental health presentations","Males","Hunter New England LHD","2022-Q3","838.8","753.3","931.4"
"18-24 years","Total mental health presentations","Males","Hunter New England LHD","2022-Q4","806.5","722.7","897.3"
"18-24 years","Total mental health presentations","Males","Hunter New England LHD","2023-Q1","761.0","681.0","847.9"
"18-24 years","Total mental health presentations","Males","Hunter New England LHD","2023-Q2","763.3","683.2","850.3"
"18-24 years","Total mental health presentations","Males","Hunter New England LHD","2023-Q3","769.1","688.6","856.4"
"18-24 years","Total mental health presentations","Males","Hunter New England LHD","2023-Q4","759.9","679.9","846.7"
"18-24 years","Total mental health presentations","Males","Hunter New England LHD","2024-Q1","787.3","703.5","878.3"
"18-24 years","Total mental health presentations","Males","Hunter New England LHD","2024-Q2","761.0","678.7","850.5"
"18-24 years","Total mental health presentations","Males","Hunter New England LHD","2024-Q3","727.3","646.9","814.9"
"18-24 years","Total mental health presentations","Males","Hunter New England LHD","2024-Q4","724.2","644.0","811.6"
"18-24 years","Total mental health presentations","Males","Hunter New England LHD","2025-Q1","704.5","626.3","789.8"
"18-24 years","Total mental health presentations","Males","Hunter New England LHD","2025-Q2","710.5","632.0","796.1"
"18-24 years","Total mental health presentations","Males","Hunter New England LHD","2025-Q3","690.2","612.8","774.6"
"18-24 years","Total mental health presentations","Males","Hunter New England LHD","2025-Q4","691.9","614.5","776.5"
"18-24 years","Total mental health presentations","Males","Northern NSW LHD","2015-Q4","1,220.0","1,017.8","1,450.6"
"18-24 years","Total mental health presentations","Males","Northern NSW LHD","2016-Q1","1,248.2","1,042.5","1,482.6"
"18-24 years","Total mental health presentations","Males","Northern NSW LHD","2016-Q2","1,269.9","1,062.3","1,506.2"
"18-24 years","Total mental health presentations","Males","Northern NSW LHD","2016-Q3","1,233.7","1,029.3","1,466.9"
"18-24 years","Total mental health presentations","Males","Northern NSW LHD","2016-Q4","1,221.7","1,018.3","1,453.8"
"18-24 years","Total mental health presentations","Males","Northern NSW LHD","2017-Q1","1,204.0","1,004.8","1,431.0"
"18-24 years","Total mental health presentations","Males","Northern NSW LHD","2017-Q2","1,171.2","974.9","1,395.4"
"18-24 years","Total mental health presentations","Males","Northern NSW LHD","2017-Q3","1,096.2","906.6","1,313.8"
"18-24 years","Total mental health presentations","Males","Northern NSW LHD","2017-Q4","1,098.6","908.7","1,316.3"
"18-24 years","Total mental health presentations","Males","Northern NSW LHD","2018-Q1","998.1","820.3","1,203.0"
"18-24 years","Total mental health presentations","Males","Northern NSW LHD","2018-Q2","993.6","816.2","1,198.0"
"18-24 years","Total mental health presentations","Males","Northern NSW LHD","2018-Q3","1,107.0","919.3","1,321.7"
"18-24 years","Total mental health presentations","Males","Northern NSW LHD","2018-Q4","1,145.5","954.4","1,363.7"
"18-24 years","Total mental health presentations","Males","Northern NSW LHD","2019-Q1","1,200.6","1,004.9","1,423.3"
"18-24 years","Total mental health presentations","Males","Northern NSW LHD","2019-Q2","1,241.4","1,042.2","1,467.5"
"18-24 years","Total mental health presentations","Males","Northern NSW LHD","2019-Q3","1,234.6","1,036.0","1,460.2"
"18-24 years","Total mental health presentations","Males","Northern NSW LHD","2019-Q4","1,162.1","969.7","1,381.5"
"18-24 years","Total mental health presentations","Males","Northern NSW LHD","2020-Q1","1,178.5","981.7","1,403.1"
"18-24 years","Total mental health presentations","Males","Northern NSW LHD","2020-Q2","1,204.2","1,005.2","1,431.0"
"18-24 years","Total mental health presentations","Males","Northern NSW LHD","2020-Q3","1,222.9","1,022.3","1,451.4"
"18-24 years","Total mental health presentations","Males","Northern NSW LHD","2020-Q4","1,309.4","1,101.5","1,545.1"
"18-24 years","Total mental health presentations","Males","Northern NSW LHD","2021-Q1","1,378.6","1,161.0","1,625.2"
"18-24 years","Total mental health presentations","Males","Northern NSW LHD","2021-Q2","1,344.6","1,129.8","1,588.3"
"18-24 years","Total mental health presentations","Males","Northern NSW LHD","2021-Q3","1,227.9","1,023.0","1,461.7"
"18-24 years","Total mental health presentations","Males","Northern NSW LHD","2021-Q4","1,179.2","978.7","1,408.8"
"18-24 years","Total mental health presentations","Males","Northern NSW LHD","2022-Q1","1,170.3","970.5","1,399.2"
"18-24 years","Total mental health presentations","Males","Northern NSW LHD","2022-Q2","1,129.0","932.9","1,354.1"
"18-24 years","Total mental health presentations","Males","Northern NSW LHD","2022-Q3","1,133.8","937.3","1,359.4"
"18-24 years","Total mental health presentations","Males","Northern NSW LHD","2022-Q4","1,099.8","906.4","1,322.2"
"18-24 years","Total mental health presentations","Males","Northern NSW LHD","2023-Q1","1,061.4","874.1","1,276.8"
"18-24 years","Total mental health presentations","Males","Northern NSW LHD","2023-Q2","1,063.7","876.3","1,279.4"
"18-24 years","Total mental health presentations","Males","Northern NSW LHD","2023-Q3","1,073.2","884.9","1,289.7"
"18-24 years","Total mental health presentations","Males","Northern NSW LHD","2023-Q4","1,054.3","867.7","1,269.1"
"18-24 years","Total mental health presentations","Males","Northern NSW LHD","2024-Q1","1,075.2","883.9","1,295.6"
